strain,rshift_theta_0,rshift_theta_pi_6,rshift_theta_pi_2
-3.0,-0.06349714488174417,-0.05568590867663465,-0.034531128804626984
-2.8,-0.059966216347959615,-0.052438480913592204,-0.03191737233640334
-2.6,-0.05639843404754399,-0.04915771321104647,-0.029288763682876296
-2.4,-0.05279294307973368,-0.045842906594448084,-0.026645330343296608
-2.2,-0.04914884534690539,-0.04249332559760658,-0.023987096763456138
-2.0,-0.045465196851215736,-0.039108195842619375,-0.021314083738314577
-1.8,-0.04174100481752139,-0.0356867014619562,-0.01862630777201748
-1.6,-0.03797522463094307,-0.03222798235253797,-0.015923780393173773
-1.4,-0.03416675657577442,-0.028731131250047563,-0.013206507422944115
-1.2,-0.030314442362330277,-0.025195190611815393,-0.010474488193572917
-1.0,-0.026417061426586702,-0.021619149295006627,-0.007727714714629402
-0.8,-0.022473326986343405,-0.01800193901604288,-0.00496617078435299
-0.6,-0.018481881836663386,-0.014342430576183285,-0.0021898310429665753
-0.4,-0.01444129386505328,-0.010639429836732715,0.0006013400348438542
-0.2,-0.010350051266454234,-0.006891673426318941,0.003407389211906463
0.0,-0.006206557434877111,-0.003097824160808602,0.0062283756281844
0.2,-0.0020091255079523187,0.0007435338446629098,0.009064372011965527
0.4,0.002244027462735383,0.004633900394378683,0.01191546596651257
0.6,0.006554786744039881,0.008574864785763367,0.01478176133641207
0.8,0.010925146588216523,0.012568111764849876,0.017663379658174987
1.0,0.015357217368879137,0.016615427892521607,0.020560461700045815
1.2,0.0198532332237146,0.020718708352999583,0.023473169096005282
1.4,0.0244155602452268,0.024879964239137946,0.026401686079969656
1.6,0.029046705264853093,0.029101330351972467,0.029346221325879936
1.8,0.0337493252801341,0.03338507355581311,0.03230700990052746
2.0,0.038526237579408144,0.037733601733553224,0.03528431533598762
2.2,0.04338043062431246,0.04214947339169596,0.03827843182946351
2.4,0.048315075755812405,0.04663540796875956,0.04128968657882861
2.6,0.053333539796824356,0.051194296906417566,0.044318442262821424
2.8,0.058439398631834956,0.055829215548380356,0.047365099675852666
3.0,0.06363645185210516,0.060543435938423255,0.05043010052802879
