strain,rshift_full_2pi_3,rshift_full_3pi_4
-3.0,-0.0016155969552275316,-0.0016155875343042733
-2.8,-0.0015165592071012045,-0.0015165499900065913
-2.6,-0.0014159304998053355,-0.0014159214810304855
-2.4,-0.001313785062090332,-0.0013137762447569448
-2.2,-0.0012101997405918271,-0.0012101911213830967
-2.0,-0.0011052539543445312,-0.0011052455353033346
-1.8,-0.0009990297425673904,-0.0009990215221271392
-1.6,-0.0008916117540732911,-0.0008916037258213021
-1.4,-0.0007830872403348857,-0.0007830794017462545
-1.2,-0.0006735460635936401,-0.000673538416824219
-1.0,-0.0005630807005943567,-0.0005630732422028876
-0.8,-0.0004517862217229389,-0.00045177894751140957
-0.6,-0.00033976027592604974,-0.0003397531870102239
-0.4,-0.0002271030978348548,-0.00022709618832281086
-0.2,-0.00011391747751520437,-0.00011391074281477235
0.0,-3.0873370848808886e-7,-3.021720787751443e-7
0.2,0.0001136152939440346,0.00011362168354455153
0.4,0.00022774426451475864,0.00022775048488068967
0.6,0.0003419653668117502,0.0003419714249238821
0.8,0.00045616335197844746,0.0004561692505711369
1.0,0.0005702205507552007,0.0005702262961464472
1.2,0.000684016903859287,0.0006840224933032568
1.4,0.0007974299787694655,0.0007974354179414552
1.6,0.0009103350039232635,0.0009103402972303789
1.8,0.0010226049009036838,0.0010226100473302248
2.0,0.0011341102834485097,0.0011341152917168733
2.2,0.0012447194985352114,0.0012447243712104708
2.4,0.0013542986255035447,0.0013543033658336451
2.6,0.001462711492721545,0.001462716106835118
2.8,0.0015698196893068992,0.0015698241737207245
3.0,0.0016754825347412197,0.001675486895205193
