strainlist,rshift_wannier,rshift_full_2pi_3,rshift_full_3pi_4,rshift_full_5pi_6
-6.0,-0.0028666240152075504,-0.0028674201953519597,-0.002867407882971317,-0.0028673948104796848
-5.5,-0.002692279077929546,-0.002693031617129811,-0.002693019746108194,-0.002693007184398981
-5.0,-0.002503235191416861,-0.002503947120259852,-0.002503935713390261,-0.0025039236854687897
-4.5,-0.0023001735699265916,-0.0023008477681518897,-0.002300836843137348,-0.0023008253652548214
-4.0,-0.0020838622091381384,-0.0020845013975211773,-0.002084490966825531,-0.002084480050091528
-3.5,-0.0018551599965419998,-0.001855766734583118,-0.0018557568075772053,-0.0018557464574891316
-3.0,-0.0016150202731224205,-0.0016155969559200423,-0.0016155875338950073,-0.0016155777517726992
-2.5,-0.0013644937695109626,-0.001365042625232729,-0.0013650337100248662,-0.0013650244936647708
-2.0,-0.001104730847745844,-0.0011052539572946388,-0.0011052455361503116,-0.0011052368672698257
-1.5,-0.0008369829974808992,-0.000837482256759063,-0.0008374743252643512,-0.0008374661973446307
-1.0,-0.0005626035508731821,-0.0005630806993013744,-0.0005630732416949928,-0.0005630656375896415
-0.5,-0.0002830476168919024,-0.0002835042270795577,-0.0002834972277849263,-0.00028349012559613723
0.0,1.287385324486891e-7,-3.08731729529268e-7,-3.021696809117315e-7,-2.955467419294726e-7
0.5,0.0002852699908554002,0.0002848504406487965,0.0002848565815835308,0.0002848627513480825
1.0,0.0005706232079244997,0.000570220552488562,0.0005702262965083262,0.0005702320308875465
1.5,0.0008543404677055477,0.0008539538881013815,0.0008539592515032858,0.0008539645773988832
2.0,0.001134481382252439,0.001134110282426634,0.0011341152922042018,0.0011341202371605878
2.5,0.0014090153846910572,0.0014086594408244469,0.0014086641148126843,0.0014086687009342493
3.0,0.0016758233380204867,0.0016754825363394813,0.0016754868953344196,0.0016754911432335646
3.5,0.0019326979106490312,0.0019323726124410598,0.001932376679097977,0.0019323806173979366
4.0,0.002177342026052455,0.002177033075532367,0.00217703686637791,0.0021770405090345193
4.5,0.002407364533625105,0.002407073381072535,0.0024070769124497214,0.002407080280213104
5.0,0.0026202720457908523,0.002620000941458939,0.002620004230812563,0.0026200073449837297
5.5,0.002813455634037931,0.002813207899817308,0.002813210962939499,0.002813213838759691
6.0,0.002984170753075563,0.002983951166911598,0.0029839540162891554,0.0029839566675305793
