strainlist,rshift_wannier,rshift_full_2pi_3,rshift_full_3pi_4,rshift_full_5pi_6
-6.0,-0.0028666240152166573,-0.002867420200067192,-0.0028674078880652847,-0.0028673948148276577
-5.5,-0.002692279077930309,-0.0026930316190678497,-0.002693019746829688,-0.002693007183295658
-5.0,-0.0025032351914201735,-0.002503947118171661,-0.0025039357125645227,-0.0025039236868408658
-4.5,-0.002300173569932238,-0.00230084776677505,-0.002300836843740263,-0.002300825368428548
-4.0,-0.0020838622091263028,-0.0020845013972784713,-0.0020844909677305086,-0.0020844800527754156
-3.5,-0.0018551599965596333,-0.0018557667302437862,-0.0018557568047069086,-0.0018557464584750525
-3.0,-0.0016150202731138304,-0.001615596957451606,-0.0016155875354265713,-0.0016155777520188571
-2.5,-0.0013644937695056476,-0.0013650426283239325,-0.0013650337118306637,-0.0013650244925324977
-2.0,-0.001104730847732875,-0.0011052539549738967,-0.0011052455358078895,-0.0011052368707491905
-1.5,-0.0008369829974739425,-0.0008374822597053041,-0.0008374743257269328,-0.0008374661948920954
-1.0,-0.0005626035508597976,-0.0005630807010541812,-0.0005630732427620585,-0.0005630656375664076
-0.5,-0.00028304761688604266,-0.00028350422685718274,-0.00028349722804386126,-0.0002834901270257097
0.0,1.287385353618821e-7,-3.0873400207771284e-7,-3.021721887353581e-7,-2.9554757413473156e-7
0.5,0.00028526999085739304,0.000284850443587349,0.0002848565848549116,0.00028486275018940375
1.0,0.0005706232079279308,0.0005702205520427586,0.0005702262954198199,0.0005702320323698519
1.5,0.000854340467714682,0.000853953887203106,0.0008539592507025634,0.0008539645798346291
2.0,0.0011344813822516176,0.0011341102816374445,0.001134115291948685,0.001134120240531752
2.5,0.0014090153846744462,0.0014086594408844425,0.0014086641150333557,0.0014086687020960214
3.0,0.0016758233380236706,0.001675482534648486,0.0016754868943205574,0.0016754911460529665
3.5,0.001932697910648992,0.0019323726136833324,0.0019323766818207615,0.0019323806168153918
4.0,0.0021773420260557262,0.002177033075809632,0.002177036869042358,0.0021770405128007436
4.5,0.0024073645336281707,0.002407073380669492,0.0024070769118630497,0.002407080281279096
5.0,0.0026202720457849647,0.002620000944293376,0.0026200042319943356,0.0026200073437783198
5.5,0.002813455634037092,0.002813207900569778,0.002813210962957451,0.002813213835839573
6.0,0.0029841707530721046,0.00298395116837717,0.0029839540195910215,0.002983956671199704
